"Question Number","Question"
"3.5.2","What measures or strategies did you implement to give you confidence in your selected network's ability to maintain transactional integrity?"
"3.5.3","What measures did you implement to mitigate the risks associated with failed or delayed (slower) transactions or an increased cost of transactions during periods of increased network congestion?"
"3.6.1","If you used CBDC in your experimentation, what functionality of the CBDC smart contract enhanced your use case?"
"3.6.2","What challenges did you face using the RBA's pilot CBDC smart contract?"
"3.6.3","How could a CBDC smart contract be improved to support safe and efficient settlement?"
"3.6.4","Did using CBDC bring you the target benefits that you expected, were there any unexpected benefits and/or costs, and could the target benefits have been achieved with an alternative settlement asset?"
"4.1.1","How did you ensure legal certainty and enforceability of token ownership and transfer?"
"4.1.2","How did you ensure that settlements were final and irrevocable?"
"4.1.3","What (if any) legal issues created uncertainty for the structuring or execution of your experimentation, and how did you resolve these uncertainties?"
"4.2.1","What regulatory challenges did you encounter when piloting your use case?"
"4.2.2","What (if any) regulatory barriers would prevent you from undertaking your use case outside of Project Acacia (i.e. absent the project-level relief provided by ASIC)?"
"4.3.1","What risk management processes and controls were implemented in support of your use case to address operational resilience and information security risks?"
"4.3.2","How did you manage the risks of smart contract failure or system downtime?"
"4.4.1","Did you identify any challenges regarding compliance with AML/CTF or sanctions laws within a tokenised ecosystem?"
"4.4.2","Were you able to leverage any of the benefits of tokenisation, such as programmability (i.e. to embed compliance processes), to address these challenges?"
"4.5.1","What liquidity risks (e.g. from pre-funding of the cash settlement leg, or splitting available settlement funds across different settlement venues) did you identify in your experimentation?"
"4.5.2","What risk management processes and controls were implemented, or could be implemented, to address those risks?"
"4.5.3","Did your experimentation reveal any tools or mechanisms that could help with the management of liquidity?"
"4.6.1","What did you learn through your experimentation about the effect of programmability on the auditability and verifiability of compliance with regulatory requirements?"
"4.6.2","Are there specific technological or procedural gaps that need to be addressed to improve regulatory auditability?"
"5.1.1","In what way(s) would the design of your use case (e.g. your selection of settlement asset or blockchain network) assist in controlling systemic risk (i.e. the risk that a problem in one institution may trigger instability across the financial system)?"
"5.1.2","In what way(s) did your experimentation demonstrate the potential of tokenisation to alter the nature or visibility of counterparty risk, and/or the way in which counterparty risk is monitored and mitigated?"
"5.1.3","In what way(s) did your experimentation demonstrate increased or decreased system resilience compared with existing financial infrastructure?"
"5.1.4","What redundancy or resilience features did your experimentation reveal as important to your use case design?"
"5.2.1","In what way(s) would the design of your use case (e.g. your selection of settlement asset or blockchain network) assist in promoting efficiency in the payments system? For example, if you experimented with pilot CBDC, what efficiencies (if any) did access to central bank money in that form by a broader set of market participants than existing ESA holders demonstrate, and why?"
"5.2.2","How did your use case design promote at par convertibility of different forms of public and private money denominated in Australian dollars?"
"5.3.1","In what way(s) did your use case provide research evidence about how asset tokenisation and/or new forms of public or private money may promote competition in the development of new markets and settlement infrastructure services? For example, did your use case demonstrate if barriers to new entry or service development can be lowered or bypassed, and if so how?"
"5.3.2","Were there barriers that prevented you from structuring your use case in a way that may have provided more information on this question, and if so what were those barriers?"
